produktlink-href,Title,Members_price,Price
https://www.skalk.dk/webshoppen/produkter/imports/9788793423534-hummelure/,Hummelure,"Medlemspris: 223,20 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779344976-vikingernes-syn-paa-militaer-og-samfund/,Vikingernes syn på militær og samfund,"Medlemspris: 295,00 kr.","Pris: 348,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799884247-paa-den-anden-side-af-jerntaeppet/,På den anden side af jerntæppet,"Medlemspris: 178,75 kr.","Pris: 199,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740665789-duellen/,Duellen,"Medlemspris: 240,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711565216-danmarks-oldtid-i-landskabet/,Danmarks oldtid i landskabet,"Medlemspris: 340,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763540735-thor-kult-i-vikingetiden/,Thor-kult i vikingetiden,"Medlemspris: 198,00 kr.","Pris: 248,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799730025-st-thomas-mysteriet/,St. Thomas-mysteriet,"Medlemspris: 127,50 kr.","Pris: 149,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712057451-christianshavnerliv/,Christianshavnerliv,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788771848304-vikingetid/,Vikingetid,"Medlemspris: 110,50 kr.","Pris: 129,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702249934-jelling/,Jelling,"Medlemspris: 127,50 kr.","Pris: 149,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702055337-poul-henningsen-dengang-og-nu-en-debatbog/,Poul Henningsen dengang og nu - en debatbog,"Medlemspris: 360,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740650921-mein-lieber-kristian/,Mein lieber Kristian,"Medlemspris: 200,00 kr.","Pris: 249,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712058588-kinafarerne/,Kinafarerne,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740670189-dragsholm-slot-i-danmarkshistorien/,Dragsholm Slot i danmarkshistorien,"Medlemspris: 239,96 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531540-nefatavl/,Nefatavl,"Medlemspris: 179,00 kr.","Pris: 249,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788797114230-tycho-brahe-opdagelsen-af-den-nye-stjerne/,Tycho Brahe - opdagelsen af den nye stjerne,"Medlemspris: 144,50 kr.","Pris: 169,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788779343634-vidnesbyrd/,Vidnesbyrd,"Medlemspris: 206,25 kr.","Pris: 229,95 kr."
